"strategy","symbol","open_time","order","price","h_gt_count","l_lt_count","c_gt_count","c_lt_count"
adx_ep_trend_reverse,BNBUSDT,1757563200,SELL,894.61,14,7,12,2
adx_ep_trend_reverse,BNBUSDT,1757606400,BUY,894.56,14,2,14,0
adx_ep_trend_reverse,BNBUSDT,1757620800,SELL,897.29,14,2,13,1
adx_ep_trend_reverse,BNBUSDT,1757664000,BUY,905.1,14,3,14,0
adx_ep_trend_reverse,BNBUSDT,1757682000,SELL,908.91,13,4,12,2
adx_ep_trend_reverse,BNBUSDT,1757700000,SELL,923.01,14,4,14,0
adx_ep_trend_reverse,BNBUSDT,1757718000,SELL,924.8,14,5,14,0
adx_ep_trend_reverse,BNBUSDT,1757736000,SELL,926.05,12,6,10,4
adx_ep_trend_reverse,BNBUSDT,1757757600,SELL,940.96,4,14,1,13
adx_ep_trend_reverse,BNBUSDT,1757772000,BUY,935.96,5,14,2,12
adx_ep_trend_reverse,BNBUSDT,1757815200,SELL,936.63,9,11,6,8
adx_ep_trend_reverse,BNBUSDT,1757822400,BUY,933.52,9,8,7,7
adx_ep_trend_reverse,BNBUSDT,1757833200,SELL,937.47,4,13,2,12
adx_ep_trend_reverse,BNBUSDT,1757887200,SELL,933.11,3,14,2,12
adx_ep_trend_reverse,BNBUSDT,1757901600,BUY,929.39,5,12,3,11
adx_ep_trend_reverse,BNBUSDT,1757919600,BUY,923.43,0,14,0,14
adx_ep_trend_reverse,BNBUSDT,1757944800,SELL,917.42,14,5,12,2
adx_ep_trend_reverse,BNBUSDT,1757955600,BUY,919.7,13,11,11,3
adx_ep_trend_reverse,BNBUSDT,1757998800,SELL,929.73,10,10,7,7
adx_ep_trend_reverse,BNBUSDT,1758020400,BUY,927.48,14,4,12,2
adx_ep_trend_reverse,BNBUSDT,1758031200,BUY,927.08,14,1,14,0
adx_ep_trend_reverse,BNBUSDT,1758038400,SELL,934.8,14,1,14,0
adx_ep_trend_reverse,BNBUSDT,1758193200,BUY,991.71,7,11,5,9
adx_ep_trend_reverse,BNBUSDT,1758445200,SELL,1058.56,2,14,1,13
adx_ep_trend_reverse,BNBUSDT,1758510000,BUY,1029.95,3,14,1,13
adx_ep_trend_reverse,BNBUSDT,1758517200,SELL,1019.07,9,13,6,8
adx_ep_trend_reverse,BNBUSDT,1758524400,BUY,1023.76,5,14,1,13
adx_ep_trend_reverse,BNBUSDT,1758553200,BUY,997.61,2,14,0,14
adx_ep_trend_reverse,BNBUSDT,1758600000,BUY,981.93,14,1,14,0
adx_ep_trend_reverse,BNBUSDT,1758614400,SELL,1004.23,14,3,13,1
adx_ep_trend_reverse,BNBUSDT,1758628800,SELL,1018.51,11,14,5,9
adx_ep_trend_reverse,BNBUSDT,1758650400,BUY,1011.2,14,6,11,3
adx_ep_trend_reverse,BNBUSDT,1758661200,BUY,1020.74,8,13,4,10
adx_ep_trend_reverse,BNBUSDT,1758679200,SELL,1019.38,7,12,3,11
adx_ep_trend_reverse,BNBUSDT,1758690000,BUY,1014.46,14,11,11,3
adx_ep_trend_reverse,BNBUSDT,1758711600,SELL,1015.99,13,14,7,7
adx_ep_trend_reverse,BNBUSDT,1758751200,BUY,1019.21,,,,
